Timestamp,Account,Account.1,Amount Received,Amount Paid,Is Laundering,sender_entity_type,receiver_entity_type
1.0,280.0,15349.0,147.8,147.8,0,payment_institution,business
1.0,249.0,9015.0,104.06,104.06,0,individual,individual
1.0,166.0,9955.0,183.77,183.77,1,individual,individual
1.0,371.0,9446.0,103.94,103.94,0,individual,account
1.0,276.0,10800.0,128.94,128.94,0,individual,individual
2.0,720.0,10160.0,253.16,253.16,0,individual,business
2.0,683.0,14218.0,225.83,225.83,0,individual,individual
2.0,282.0,19225.0,104.83,104.83,0,business,individual
2.0,463.0,16088.0,291.08,291.08,0,individual,individual
2.0,577.0,7832.0,387.42,387.42,0,individual,payment_institution
2.0,792.0,19749.0,356.7,356.7,0,business,individual
2.0,510.0,2245.0,387.64,387.64,0,individual,business
2.0,780.0,18067.0,286.97,286.97,1,business,account
2.0,239.0,12790.0,145.3,145.3,0,individual,individual
2.0,158.0,16226.0,144.22,144.22,0,business,individual
2.0,696.0,5792.0,246.8,246.8,1,business,individual
2.0,487.0,4677.0,219.83,219.83,0,individual,individual
2.0,705.0,18129.0,302.42,302.42,0,individual,individual
2.0,561.0,18214.0,264.13,264.13,0,individual,business
3.0,897.0,9225.0,452.75,452.75,0,individual,account
3.0,1101.0,7280.0,589.05,589.05,0,individual,individual
3.0,772.0,712.0,365.86,365.86,0,account,individual
3.0,72.0,5055.0,161.27,161.27,0,business,payment_institution
3.0,907.0,13250.0,427.64,427.64,0,individual,individual
3.0,888.0,17028.0,443.29,443.29,0,account,business
3.0,740.0,4994.0,208.86,208.86,0,individual,business
3.0,784.0,8899.0,240.24,240.24,0,individual,individual
3.0,267.0,14947.0,115.09,115.09,0,individual,individual
3.0,125.0,9972.0,102.16,102.16,1,business,account
3.0,115.0,16129.0,153.41,153.41,0,individual,individual
3.0,368.0,11456.0,106.63,106.63,0,individual,individual
3.0,937.0,18503.0,430.16,430.16,0,individual,individual
3.0,350.0,4051.0,149.83,149.83,0,individual,account
3.0,1032.0,14663.0,532.22,532.22,0,individual,individual
3.0,508.0,13210.0,240.96,240.96,0,individual,account
3.0,268.0,15315.0,133.33,133.33,0,individual,individual
3.0,777.0,17777.0,374.22,374.22,0,account,business
3.0,993.0,19765.0,400.2,400.2,0,individual,business
3.0,1136.0,16145.0,431.04,431.04,0,business,business
3.0,753.0,19940.0,208.89,208.89,1,account,business
3.0,403.0,9922.0,236.38,236.38,0,account,individual
3.0,876.0,10359.0,430.23,430.23,0,individual,individual
3.0,288.0,6954.0,141.47,141.47,0,individual,account
3.0,997.0,710.0,585.88,585.88,0,business,individual
3.0,844.0,9883.0,505.29,505.29,1,individual,business
3.0,618.0,17560.0,249.8,249.8,0,account,individual
3.0,1016.0,2275.0,550.95,550.95,0,individual,business
3.0,1194.0,9889.0,438.1,438.1,0,individual,payment_institution
3.0,526.0,16516.0,387.42,387.42,0,individual,individual
3.0,390.0,1008.0,190.58,190.58,0,individual,individual
3.0,474.0,17763.0,218.69,218.69,0,individual,individual
4.0,1282.0,18321.0,164.52,164.52,0,individual,account
4.0,429.0,2387.0,209.41,209.41,0,individual,individual
4.0,1527.0,8935.0,189.1,189.1,0,business,business
4.0,1504.0,9986.0,147.97,147.97,0,individual,individual
4.0,98.0,12532.0,161.27,161.27,0,individual,business
4.0,1411.0,19985.0,184.96,184.96,0,business,business
4.0,391.0,19271.0,120.61,120.61,0,individual,individual
4.0,962.0,9937.0,555.17,555.17,1,account,account
4.0,1529.0,17078.0,196.75,196.75,0,individual,business
4.0,383.0,14356.0,150.24,150.24,0,individual,business
4.0,645.0,9985.0,338.94,338.94,0,individual,individual
4.0,886.0,4241.0,484.52,484.52,0,individual,account
4.0,1513.0,13059.0,138.38,138.38,0,individual,account
4.0,21.0,4153.0,172.97,172.97,0,business,individual
4.0,32.0,19993.0,126.05,126.05,1,account,individual
4.0,716.0,19856.0,316.19,316.19,0,individual,individual
4.0,543.0,9878.0,226.44,226.44,0,business,individual
4.0,1512.0,9972.0,111.0,111.0,1,business,individual
4.0,760.0,9745.0,395.77,395.77,1,individual,individual
4.0,1375.0,9745.0,181.28,181.28,1,account,individual
4.0,1031.0,3576.0,431.07,431.07,0,account,account
4.0,1112.0,17940.0,425.07,425.07,1,individual,individual
4.0,1186.0,14576.0,580.36,580.36,0,business,business
4.0,766.0,15169.0,282.79,282.79,0,account,individual
4.0,1275.0,18676.0,165.86,165.86,0,individual,individual
4.0,923.0,6006.0,585.53,585.53,0,account,individual
4.0,1485.0,8324.0,174.24,174.24,0,individual,individual
4.0,1380.0,15890.0,170.44,170.44,0,individual,individual
4.0,499.0,8041.0,271.85,271.85,0,individual,individual
4.0,129.0,19968.0,121.05,121.05,0,individual,account
4.0,170.0,14652.0,174.16,174.16,0,individual,individual
5.0,956.0,10400.0,499.2,499.2,0,individual,individual
5.0,942.0,19527.0,453.97,453.97,0,business,business
5.0,563.0,19988.0,258.66,258.66,0,account,individual
5.0,1014.0,9942.0,559.33,559.33,0,individual,account
5.0,1835.0,6081.0,289.76,289.76,0,business,account
5.0,1780.0,4515.0,269.7,269.7,0,account,individual
5.0,1833.0,7745.0,361.7,361.7,0,business,individual
5.0,93.0,11897.0,166.02,166.02,0,individual,individual
5.0,290.0,7353.0,190.86,190.86,0,individual,individual
5.0,1588.0,18373.0,133.97,133.97,0,individual,individual
5.0,1325.0,9988.0,129.6,129.6,1,account,business
5.0,1647.0,19891.0,248.58,248.58,0,account,individual
5.0,1249.0,4690.0,101.34,101.34,0,individual,business
5.0,1125.0,19364.0,517.17,517.17,0,individual,payment_institution
5.0,1398.0,14178.0,145.25,145.25,0,business,individual
5.0,1852.0,483.0,256.33,256.33,0,payment_institution,individual
5.0,1476.0,9925.0,134.08,134.08,1,payment_institution,individual
5.0,604.0,17303.0,305.22,305.22,0,individual,business
5.0,172.0,19748.0,104.56,104.56,1,business,individual
5.0,1529.0,15078.0,196.75,196.75,0,business,individual
5.0,1232.0,9654.0,187.88,187.88,0,business,individual
5.0,1772.0,9056.0,338.73,338.73,0,account,business
5.0,270.0,2976.0,171.85,171.85,0,individual,individual
5.0,1467.0,4936.0,109.75,109.75,0,individual,business
5.0,1853.0,645.0,280.83,280.83,0,individual,business
5.0,1120.0,6411.0,510.98,510.98,1,individual,individual
5.0,1933.0,788.0,279.38,279.38,0,individual,individual
5.0,1111.0,9953.0,411.97,411.97,0,individual,individual
5.0,1927.0,19584.0,337.66,337.66,0,individual,individual
5.0,1326.0,14744.0,163.44,163.44,0,individual,individual
5.0,1640.0,8130.0,286.8,286.8,0,business,individual
5.0,1601.0,19089.0,280.97,280.97,0,business,payment_institution
5.0,1723.0,14321.0,230.96,230.96,0,individual,individual
5.0,1765.0,19265.0,297.04,297.04,0,individual,individual
5.0,1683.0,19366.0,204.25,204.25,0,business,individual
5.0,1581.0,4928.0,112.02,112.02,0,individual,individual
5.0,264.0,17638.0,120.77,120.77,0,individual,account
5.0,887.0,19816.0,578.48,578.48,0,business,individual
5.0,1806.0,5142.0,216.07,216.07,0,business,business
5.0,775.0,18339.0,298.0,298.0,0,individual,individual
5.0,1559.0,5920.0,138.11,138.11,0,account,individual
5.0,1869.0,2918.0,283.47,283.47,0,individual,account
5.0,1583.0,17936.0,191.11,191.11,0,individual,individual
5.0,1980.0,17667.0,362.35,362.35,0,individual,individual
5.0,349.0,18821.0,132.25,132.25,0,individual,account
5.0,228.0,4710.0,109.77,109.77,0,account,payment_institution
5.0,1032.0,16682.0,532.22,532.22,0,individual,individual
5.0,546.0,18850.0,214.63,214.63,0,business,individual
5.0,609.0,6960.0,256.67,256.67,0,individual,individual
5.0,1033.0,18995.0,584.73,584.73,0,individual,individual
5.0,745.0,13158.0,240.32,240.32,0,individual,business
6.0,1548.0,4754.0,119.76,119.76,0,account,business
6.0,1726.0,8180.0,212.66,212.66,0,individual,individual
6.0,1543.0,7744.0,111.65,111.65,0,business,business
6.0,2272.0,1536.0,133.08,133.08,1,individual,account
6.0,914.0,9860.0,564.13,564.13,0,individual,individual
6.0,1739.0,13587.0,206.36,206.36,0,individual,payment_institution
6.0,1369.0,8656.0,199.25,199.25,0,account,individual
6.0,1446.0,12921.0,155.61,155.61,0,business,account
6.0,1000.0,14961.0,589.34,589.34,0,payment_institution,payment_institution
6.0,610.0,8089.0,351.04,351.04,0,individual,payment_institution
6.0,1568.0,1316.0,159.58,159.58,0,individual,business
6.0,1752.0,9986.0,204.38,204.38,0,individual,individual
6.0,1745.0,19060.0,237.91,237.91,0,individual,individual
6.0,2148.0,9217.0,190.47,190.47,0,business,individual
6.0,801.0,18636.0,571.82,571.82,1,business,individual
6.0,702.0,15491.0,322.16,322.16,0,payment_institution,individual
6.0,1760.0,19890.0,213.52,213.52,0,individual,business
6.0,1875.0,7155.0,316.27,316.27,0,account,individual
6.0,2191.0,7927.0,148.36,148.36,0,individual,individual
6.0,2375.0,15458.0,139.13,139.13,0,individual,individual
6.0,1235.0,9596.0,148.28,148.28,0,individual,business
6.0,2245.0,5520.0,168.86,168.86,0,individual,individual
6.0,1314.0,9088.0,150.36,150.36,0,business,individual
6.0,1102.0,17441.0,462.95,462.95,0,individual,business
6.0,866.0,19795.0,468.63,468.63,0,business,individual
6.0,1918.0,7138.0,226.89,226.89,1,account,individual
6.0,2362.0,848.0,186.25,186.25,0,business,individual
6.0,784.0,19990.0,240.24,240.24,0,payment_institution,account
6.0,1071.0,13268.0,521.94,521.94,0,business,payment_institution
6.0,49.0,18350.0,196.75,196.75,0,business,account
6.0,1740.0,9155.0,254.39,254.39,0,business,account
6.0,82.0,9963.0,154.05,154.05,1,individual,individual
6.0,567.0,7285.0,255.38,255.38,0,account,individual
6.0,1527.0,9707.0,189.1,189.1,0,individual,individual
6.0,1490.0,9376.0,112.94,112.94,0,individual,individual
6.0,381.0,6961.0,150.5,150.5,0,individual,business
6.0,2033.0,19920.0,107.79,107.79,1,account,individual
6.0,1572.0,12801.0,127.29,127.29,0,business,individual
6.0,859.0,9929.0,564.34,564.34,0,individual,business
6.0,1228.0,19456.0,117.45,117.45,1,individual,individual
6.0,1754.0,19954.0,266.32,266.32,0,account,individual
6.0,1532.0,17412.0,104.04,104.04,0,individual,individual
6.0,401.0,8816.0,331.39,331.39,0,account,business
6.0,603.0,12389.0,251.32,251.32,0,account,account
6.0,321.0,9991.0,177.71,177.71,1,account,individual
6.0,947.0,9782.0,510.08,510.08,0,individual,individual
6.0,430.0,14803.0,294.17,294.17,0,business,individual
6.0,335.0,19269.0,121.58,121.58,0,individual,individual
6.0,1413.0,18325.0,151.71,151.71,0,business,payment_institution
6.0,705.0,18374.0,302.42,302.42,0,individual,individual
6.0,1988.0,15188.0,364.42,364.42,0,individual,business
6.0,2045.0,9888.0,181.28,181.28,0,business,account
6.0,1488.0,13859.0,135.91,135.91,0,account,business
6.0,1830.0,18496.0,316.48,316.48,0,account,business
6.0,1002.0,4771.0,555.71,555.71,0,individual,business
6.0,1746.0,19184.0,364.89,364.89,0,individual,individual
6.0,701.0,7654.0,234.66,234.66,0,individual,individual
6.0,2352.0,9954.0,142.25,142.25,1,business,individual
6.0,2170.0,19029.0,148.3,148.3,0,business,individual
6.0,1757.0,18129.0,322.69,322.69,0,individual,individual
6.0,1847.0,19984.0,203.03,203.03,0,individual,individual
6.0,1524.0,14881.0,168.38,168.38,0,individual,account
6.0,2399.0,17192.0,164.1,164.1,0,individual,individual
6.0,2171.0,15621.0,191.41,191.41,0,individual,individual
6.0,1996.0,7685.0,353.61,353.61,0,account,individual
6.0,1588.0,5693.0,133.97,133.97,0,payment_institution,business
6.0,235.0,7109.0,185.38,185.38,0,business,business
6.0,2285.0,3650.0,189.21,189.21,1,account,individual
6.0,2205.0,19640.0,139.13,139.13,1,individual,individual
6.0,658.0,19984.0,213.28,213.28,0,individual,individual
6.0,1202.0,19961.0,101.36,101.36,0,payment_institution,individual
6.0,1512.0,12629.0,111.0,111.0,0,account,individual
6.0,648.0,6514.0,212.03,212.03,0,individual,individual
6.0,1795.0,8820.0,322.33,322.33,0,individual,individual
6.0,1059.0,12361.0,501.77,501.77,0,business,individual
6.0,2293.0,18736.0,159.03,159.03,0,account,individual
6.0,355.0,4086.0,121.87,121.87,0,individual,business
6.0,664.0,4179.0,208.24,208.24,0,business,individual
7.0,2695.0,9808.0,388.2,388.2,0,individual,individual
7.0,485.0,12593.0,387.14,387.14,0,individual,individual
7.0,2383.0,17300.0,124.06,124.06,0,individual,individual
7.0,117.0,19252.0,102.66,102.66,0,business,individual
7.0,152.0,4345.0,105.8,105.8,0,account,account
7.0,2795.0,6849.0,208.61,208.61,0,business,business
7.0,2019.0,9989.0,133.16,133.16,1,business,individual
7.0,2062.0,15857.0,101.48,101.48,0,payment_institution,individual
7.0,1462.0,9301.0,169.03,169.03,0,individual,business
7.0,1331.0,19318.0,172.78,172.78,0,business,individual
7.0,481.0,3376.0,222.69,222.69,0,individual,individual
7.0,2492.0,19892.0,325.6,325.6,0,business,business
7.0,1852.0,19108.0,256.33,256.33,0,individual,individual
7.0,1910.0,10466.0,209.07,209.07,0,individual,account
7.0,1183.0,4597.0,415.48,415.48,0,individual,individual
7.0,613.0,12368.0,207.08,207.08,0,individual,account
7.0,2154.0,9440.0,197.72,197.72,0,business,individual
7.0,2648.0,19889.0,318.92,318.92,1,individual,business
7.0,1877.0,19507.0,249.58,249.58,0,business,account
7.0,2323.0,19361.0,100.33,100.33,1,individual,payment_institution
7.0,1290.0,18866.0,161.16,161.16,0,business,individual
7.0,2675.0,17398.0,220.38,220.38,0,individual,individual
7.0,805.0,9413.0,547.46,547.46,0,individual,individual
7.0,2107.0,9634.0,177.27,177.27,0,business,individual
7.0,1630.0,7894.0,360.36,360.36,0,individual,individual
7.0,681.0,10536.0,341.76,341.76,0,individual,payment_institution
7.0,1569.0,7810.0,109.2,109.2,0,individual,individual
7.0,216.0,14730.0,163.3,163.3,0,individual,individual
7.0,1689.0,19993.0,242.08,242.08,1,business,individual
7.0,1790.0,18625.0,363.86,363.86,0,individual,business
7.0,591.0,19045.0,231.24,231.24,0,individual,individual
7.0,173.0,6569.0,128.08,128.08,0,individual,account
7.0,2632.0,17969.0,288.91,288.91,0,account,business
7.0,2747.0,14864.0,275.35,275.35,0,business,individual
7.0,726.0,6230.0,357.33,357.33,0,individual,business
7.0,2636.0,7824.0,233.55,233.55,0,account,business
7.0,1517.0,6544.0,197.66,197.66,0,individual,individual
7.0,1914.0,17923.0,289.25,289.25,0,account,account
7.0,1306.0,15462.0,171.32,171.32,0,individual,individual
7.0,2217.0,930.0,132.21,132.21,0,payment_institution,individual
7.0,1152.0,9530.0,531.03,531.03,0,business,payment_institution
7.0,1813.0,19877.0,206.27,206.27,0,business,individual
7.0,1657.0,8410.0,336.89,336.89,0,individual,individual
7.0,2113.0,8804.0,174.02,174.02,0,individual,individual
7.0,1913.0,1093.0,213.41,213.41,0,individual,individual
7.0,526.0,8648.0,387.42,387.42,0,individual,individual
7.0,1583.0,1520.0,191.11,191.11,0,individual,account
7.0,716.0,19280.0,316.19,316.19,0,individual,individual
7.0,855.0,13154.0,569.55,569.55,0,individual,business
7.0,2035.0,17428.0,115.95,115.95,0,business,business
7.0,1042.0,14098.0,403.14,403.14,0,individual,account
7.0,462.0,374.0,351.32,351.32,0,individual,individual
7.0,477.0,8754.0,355.88,355.88,0,individual,individual
7.0,1430.0,8459.0,147.99,147.99,0,individual,account
7.0,1420.0,19731.0,138.82,138.82,0,individual,payment_institution
7.0,420.0,18378.0,298.36,298.36,1,account,individual
7.0,2743.0,9864.0,288.17,288.17,1,individual,business
7.0,508.0,7258.0,240.96,240.96,0,individual,account
7.0,326.0,10325.0,170.19,170.19,0,individual,account
7.0,2046.0,4536.0,177.41,177.41,0,business,individual
7.0,2707.0,17632.0,353.92,353.92,0,business,individual
7.0,1793.0,19922.0,390.02,390.02,0,business,account
7.0,637.0,8002.0,276.29,276.29,0,individual,payment_institution
7.0,1104.0,11169.0,596.85,596.85,0,account,business
7.0,1565.0,19684.0,182.71,182.71,0,individual,individual
7.0,231.0,6721.0,187.36,187.36,0,business,individual
7.0,2726.0,14832.0,334.92,334.92,1,business,individual
7.0,857.0,17507.0,520.85,520.85,0,individual,individual
7.0,1649.0,3042.0,368.7,368.7,0,individual,individual
7.0,1938.0,9398.0,361.73,361.73,0,individual,individual
7.0,1274.0,10738.0,140.77,140.77,0,individual,individual
7.0,1967.0,17057.0,291.76,291.76,0,individual,business
7.0,2696.0,11586.0,280.98,280.98,0,business,individual
7.0,1405.0,4113.0,182.72,182.72,0,individual,individual
7.0,2098.0,7946.0,125.26,125.26,0,account,individual
7.0,1823.0,15927.0,341.69,341.69,0,business,business
7.0,937.0,19848.0,430.16,430.16,1,individual,individual
7.0,1499.0,14677.0,135.91,135.91,0,payment_institution,individual
7.0,1685.0,16000.0,370.77,370.77,0,individual,business
7.0,234.0,9428.0,110.01,110.01,0,individual,individual
7.0,697.0,19952.0,216.92,216.92,0,business,account
7.0,1811.0,17777.0,287.39,287.39,0,individual,individual
7.0,1614.0,16772.0,217.5,217.5,0,individual,individual
7.0,2258.0,9797.0,155.88,155.88,1,business,payment_institution
7.0,2111.0,9697.0,111.44,111.44,0,account,individual
7.0,1263.0,13635.0,167.36,167.36,0,business,account
8.0,848.0,6263.0,444.01,444.01,0,individual,business
8.0,846.0,19872.0,491.11,491.11,0,individual,business
8.0,187.0,7300.0,119.23,119.23,0,individual,account
8.0,2844.0,9777.0,428.61,428.61,0,individual,account
8.0,2717.0,15042.0,352.29,352.29,0,individual,business
8.0,2911.0,11473.0,446.83,446.83,1,business,account
8.0,3048.0,5762.0,495.01,495.01,0,individual,individual
8.0,373.0,17522.0,104.05,104.05,0,individual,individual
8.0,2086.0,5113.0,198.5,198.5,0,individual,individual
8.0,2670.0,9504.0,294.85,294.85,0,individual,account
8.0,478.0,8964.0,339.7,339.7,0,individual,individual
8.0,1739.0,9894.0,206.36,206.36,0,account,account
8.0,777.0,13670.0,374.22,374.22,0,individual,individual
8.0,1324.0,4116.0,158.36,158.36,0,business,account
8.0,2635.0,19553.0,365.89,365.89,0,individual,account
8.0,1936.0,3282.0,295.08,295.08,0,individual,business
8.0,2752.0,9312.0,213.83,213.83,0,individual,individual
8.0,650.0,16260.0,349.04,349.04,0,individual,business
8.0,2405.0,9120.0,269.07,269.07,0,individual,individual
8.0,751.0,5684.0,268.79,268.79,0,individual,business
8.0,2672.0,8867.0,340.58,340.58,0,individual,business
8.0,2327.0,9969.0,131.86,131.86,1,account,business
8.0,697.0,8135.0,216.92,216.92,0,individual,account
8.0,2605.0,6531.0,311.57,311.57,0,individual,account
8.0,2167.0,7442.0,194.25,194.25,0,individual,individual
8.0,983.0,19970.0,401.82,401.82,0,individual,individual
8.0,2569.0,18433.0,341.7,341.7,0,individual,business
8.0,2408.0,19440.0,328.89,328.89,0,business,account
8.0,1468.0,2530.0,100.51,100.51,0,business,business
8.0,2253.0,7299.0,111.5,111.5,0,individual,business
8.0,2418.0,8832.0,258.0,258.0,0,payment_institution,individual
8.0,2407.0,9585.0,241.17,241.17,0,payment_institution,payment_institution
8.0,1829.0,14869.0,283.72,283.72,0,individual,individual
8.0,2905.0,9301.0,535.67,535.67,0,account,individual
8.0,340.0,19573.0,115.12,115.12,0,business,business
8.0,674.0,14100.0,292.17,292.17,0,business,individual
8.0,535.0,15472.0,389.14,389.14,0,individual,account
8.0,2806.0,16646.0,555.42,555.42,0,individual,business
8.0,1314.0,16093.0,150.36,150.36,0,account,individual
8.0,2852.0,19987.0,425.16,425.16,1,business,individual
8.0,2288.0,5121.0,153.11,153.11,0,account,individual
8.0,1699.0,18198.0,298.54,298.54,0,individual,individual
8.0,1423.0,18131.0,191.63,191.63,1,individual,individual
8.0,1108.0,9876.0,519.13,519.13,0,account,account
8.0,2881.0,9974.0,559.95,559.95,0,business,business
8.0,2805.0,6801.0,413.05,413.05,0,account,individual
8.0,2369.0,17251.0,103.48,103.48,0,individual,individual
8.0,2662.0,12292.0,343.57,343.57,0,business,individual
8.0,2289.0,3427.0,186.44,186.44,0,individual,payment_institution
8.0,427.0,6272.0,322.35,322.35,0,individual,individual
8.0,1260.0,7984.0,111.19,111.19,0,business,business
8.0,3033.0,16881.0,512.63,512.63,0,individual,account
8.0,1679.0,10931.0,292.77,292.77,0,account,individual
8.0,116.0,5318.0,168.05,168.05,0,individual,individual
8.0,1578.0,1427.0,166.0,166.0,0,business,individual
8.0,1916.0,17413.0,355.58,355.58,0,individual,payment_institution
8.0,1451.0,17733.0,181.19,181.19,0,individual,account
8.0,2088.0,12244.0,183.67,183.67,0,individual,individual
8.0,2303.0,4594.0,166.38,166.38,0,individual,payment_institution
8.0,1210.0,5088.0,179.07,179.07,0,individual,individual
8.0,363.0,5940.0,178.41,178.41,0,business,account
8.0,878.0,5074.0,525.57,525.57,0,business,payment_institution
8.0,2372.0,12097.0,157.55,157.55,0,account,business
8.0,1212.0,9312.0,126.22,126.22,0,individual,business
8.0,3008.0,4579.0,430.91,430.91,0,individual,individual
8.0,2028.0,9538.0,127.44,127.44,0,individual,individual
8.0,1940.0,19896.0,269.79,269.79,0,individual,individual
8.0,851.0,19170.0,498.94,498.94,0,individual,individual
8.0,994.0,8833.0,428.14,428.14,0,account,individual
8.0,953.0,19473.0,491.17,491.17,0,business,account
8.0,2254.0,15045.0,105.87,105.87,0,individual,business
8.0,2870.0,8468.0,553.89,553.89,0,business,business
8.0,2777.0,9409.0,266.35,266.35,0,business,account
8.0,1862.0,9202.0,260.17,260.17,0,individual,individual
8.0,2052.0,19040.0,168.63,168.63,0,business,business
8.0,2050.0,7409.0,174.67,174.67,0,individual,individual
8.0,2828.0,15138.0,579.27,579.27,0,account,individual
8.0,2226.0,3219.0,169.17,169.17,0,business,individual
8.0,939.0,9971.0,471.16,471.16,0,account,individual
8.0,1480.0,9138.0,136.75,136.75,0,payment_institution,individual
8.0,1511.0,19508.0,149.92,149.92,0,individual,individual
8.0,2230.0,14977.0,108.87,108.87,1,business,business
8.0,2220.0,9875.0,155.03,155.03,0,individual,account
8.0,2053.0,16384.0,110.0,110.0,1,individual,individual
8.0,2445.0,19398.0,398.94,398.94,1,individual,individual
8.0,3135.0,18241.0,559.4,559.4,0,individual,individual
8.0,1394.0,9938.0,189.24,189.24,0,individual,individual
8.0,3176.0,9744.0,559.21,559.21,0,individual,payment_institution
8.0,3044.0,17414.0,599.25,599.25,0,business,individual
8.0,2365.0,18613.0,112.58,112.58,0,individual,business
8.0,2815.0,4929.0,577.59,577.59,0,account,individual
8.0,118.0,9832.0,163.5,163.5,0,business,individual
8.0,677.0,13217.0,284.33,284.33,0,business,individual
8.0,3122.0,16641.0,578.55,578.55,0,individual,individual
8.0,892.0,8880.0,465.76,465.76,0,individual,individual
8.0,1491.0,9236.0,177.86,177.86,1,individual,individual
8.0,1548.0,9624.0,119.76,119.76,1,individual,account
8.0,1325.0,3001.0,129.6,129.6,0,individual,business
8.0,696.0,8650.0,246.8,246.8,1,individual,payment_institution
